ts,name,value,unit,mode,pid,bus
2026-07-21T22:40:44.650635552+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:44.686674867+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:44.736631565+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:44.775674029+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:44.825693972+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:40:45.696663187+00:00,engine_rpm,675.75,rpm,1,12,hs
2026-07-21T22:40:45.789665885+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:45.834666099+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:45.901661904+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:45.986648796+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:46.027623311+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:40:46.915883726+00:00,engine_rpm,675.5,rpm,1,12,hs
2026-07-21T22:40:46.966650579+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:47.006642827+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:47.049675971+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:47.085632144+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:47.136698331+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:40:48.006677369+00:00,engine_rpm,669.25,rpm,1,12,hs
2026-07-21T22:40:48.099680383+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:48.140657131+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:48.175619854+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:48.226652022+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:48.265646528+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:40:49.155642896+00:00,engine_rpm,674.75,rpm,1,12,hs
2026-07-21T22:40:49.200596512+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:49.236672484+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:49.289657937+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:49.326656372+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:49.374655153+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:40:50.264623909+00:00,engine_rpm,671.75,rpm,1,12,hs
2026-07-21T22:40:50.307632811+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:50.350674677+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:50.395649499+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:50.435665072+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:50.475642974+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:40:51.366643032+00:00,engine_rpm,674.75,rpm,1,12,hs
2026-07-21T22:40:51.501677473+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:51.586614714+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:51.626636887+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:51.671662365+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:51.716687162+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:40:52.607742653+00:00,engine_rpm,677.75,rpm,1,12,hs
2026-07-21T22:40:52.757750393+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:52.795751680+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:52.847741811+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:52.886692535+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:52.931659543+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:40:53.787763674+00:00,engine_rpm,672,rpm,1,12,hs
2026-07-21T22:40:53.836784770+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:53.876663492+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:53.923665161+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:53.968704834+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:54.009652711+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:40:54.895733468+00:00,engine_rpm,679,rpm,1,12,hs
2026-07-21T22:40:54.941661085+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:54.986669126+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:55.029635048+00:00,intake_temp,43,C,1,15,hs
