Address,Byte Values,,,"Body Control Module BCM 726-XX-XX (JU5T-AA*, BA*, CA*, DA*, EA*, FA, GA*, GG*, HA*)",,Notes
726-19-02,xxxx,x*xx,xxxx,Feature Cfg PASE [person3],"0=Disabled, 1=Enabled, 2=Inop",
726-19-02,xxxx,xxx*,xxxx,Feature Cfg PASE [person4],"0=Disabled, 1=Enabled, 2=Inop",
726-19-02,xxxx,xxxx,x*xx,Feature Cfg PASE [vehicle],"0=Disabled, 1=Enabled, 2=Inop",
,,,,Body Features,,
726-20-01,x*xx,xxxx,xxxx,Feat Cfg Remote Start Duration 1,"0=Off, 1=5min, 2=10min, 3=15min",
726-20-01,xxx*,xxxx,xxxx,Feat Cfg Remote Start Duration 2,"0=Off, 1=5min, 2=10min, 3=15min",
726-20-01,xxxx,x*xx,xxxx,Feat Cfg Remote Start Duration 3,"0=Off, 1=5min, 2=10min, 3=15min",
726-20-01,xxxx,xxx*,xxxx,Feat Cfg Remote Start Duration 4,"0=Off, 1=5min, 2=10min, 3=15min",
726-20-01,xxxx,xxxx,x*xx,Feat Cfg Remote Start Duration 5,"0=Off, 1=5min, 2=10min, 3=15min",
726-20-02,x*xx,xxxx,xxxx,Feature Cfg Trim Switch Inhibit [person1],"0=Disabled, 1=Enabled, 2=Inop",
726-20-02,xxx*,xxxx,xxxx,Feature Cfg Trim Switch Inhibit [person2],"0=Disabled, 1=Enabled, 2=Inop",
726-20-02,xxxx,x*xx,xxxx,Feature Cfg Trim Switch Inhibit [person3],"0=Disabled, 1=Enabled, 2=Inop",
726-20-02,xxxx,xxx*,xxxx,Feature Cfg Trim Switch Inhibit [person4],"0=Disabled, 1=Enabled, 2=Inop",
726-20-02,xxxx,xxxx,x*xx,Feature Cfg Trim Switch Inhibit [vehicle],"0=Disabled, 1=Enabled, 2=Inop",
,,,,Body Features,,
726-21-01,**xx,xxxx,xxxx,FeatLst to BCM Auto Lamps Delay Initial Value,(sec),
726-21-01,xxx*,xxxx,xxxx,FeatLst to BCM Auto Lock Initital Value,"0=Disabled, 1=Enabled, 2=Inop",
726-21-01,xxxx,x*xx,xxxx,FeatLst to BCM Auto Relock Initial Value,"0=Disabled, 1=Enabled, 2=Inop",
726-21-01,xxxx,xxx*,xxxx,FeatLst to BCM Auto Unlock Initial Value,"0=Disabled, 1=Enabled, 2=Inop",
726-21-01,xxxx,xxxx,x*xx,FeatLst to BCM DRL by Autolamps Initial Value,"0=Disabled, 1=Enabled, 2=Inop",
726-21-02,x*xx,xxxx,xxxx,FeatLst to BCM Global Close Initial Value,"0=Disabled, 1=Enabled",
726-21-02,xxx*,xxxx,xxxx,FeatLst to BCM Global Open Initial Value,"0=Disabled, 1=Enabled",
726-21-02,xxxx,x*xx,xxxx,FeatLst to BCM Mislock Horn Initial Value,"0=Disabled, 1=Enabled, 2=Inop",
726-21-02,xxxx,xxx*,xxxx,FeatLst to BCM One/Two Stage Unlock InitVal,"0=One Stage, 1=Two Stage",
726-21-02,xxxx,xxxx,x*xx,FeatLst to BCM Park Lock Control Initial Value,"0=Disabled, 1=Enabled",
,,,,Body Features,,
726-22-01,x*xx,xxxx,xxxx,FeatLst to BCM PASE Initital Value,"0=Disabled, 1=Enabled, 2=Inop",
726-22-01,xxx*,xxxx,xxxx,FeatLst to BCM Remote Start Duration Initial Value,"0=Off, 1=5min, 2=10min, 3=15min",
726-22-01,xxxx,x*xx,xxxx,FeatLst to BCM Trim Switch Inhibit InitVal,"0=Disabled, 1=Enabled",
726-22-01,xxxx,xxx*,xxxx,Ignition Power Shutdown Enable Cfg,"0=Disabled, 1=Enabled",
726-22-01,xxxx,xxxx,x*xx,Park Lock Control D Allow Cfg,"0=Less Park Lock Control, 1=Allow Sust enable for parking, 2=Allow Temp enable for towing, 3=Allow for either parking or towing",
726-22-02,x*xx,xxxx,xxxx,Rear Fold Cfg,"0=Disabled, 1=Enabled",
726-22-02,xxx*,xxxx,xxxx,Remote Start Enable Cfg,"0=Disabled, 1=Enabled",
726-22-02,xxxx,x*xx,xxxx,"Slave Exists SCL (Steering Column Lock) Cfg
DO NOT CHANGE THIS or your courtesy lights may not function correctly.","0=Disabled, 1=Enabled",
726-22-02,xxxx,xxx*,xxxx,Transmission Shift Type,"0=Button, 1=Lever, 2=Rotary",
726-22-02,xxxx,xxxx,**xx,Passenger Transit Lock Cfg,"55=Transit, AA=Normal",
,,,,Body Features Key Source,,
726-23-01,x*xx,,,Key Source Cfg - Special Requirement,"0=Null, 1=Key Cyl, 2=Passive, 3=Pushbutton",
,,,,Closure Interfaces,,
726-24-01,x*xx,xxxx,xxxx,Decklid Type Cfg,"0=Manual, 1=Power",
726-24-01,xxx*,xxxx,xxxx,Fob Liftgate First Press Cfg,"0=Disabled, 1=Enabled",
726-24-01,xxxx,x*xx,xxxx,Liftgate Type Cfg,"0=Manual, 1=Power",
,,,,DTC Suppression,,
726-24-01,xxxx,xx*x,xxxx,RF DRL (RFD) / LF DRL (LFD) / RF Position Lamp (RFP) / LF Position Lamp (LFP) - Circuit DTC (Normal/Inhibit),,
,,,,"0=RFD Normal, LFD Normal, RFP Normal, LFP Normal","8=RDD Inhibit, LFD Normal, RFP Normal, LFP Normal",
,,,,"1=RFD Normal, LFD Normal, RFP Normal, LFP Inhibit","9=RFD Inhibit, LFD Normal, RFP Normal, LFP Inhibit",
,,,,"2=RFD Normal, LFD Normal, RFP Inhibit, LFP Normal","A=RFD Inhibit, LFD Normal, RFP Inhibit, LFP Normal",
,,,,"3=RFD Normal, LFD Normal, RFP Inhibit, LFP Inhibit","B=RFD Inhibit, LFD Normal, RFP Inhibit, LFP Inhibit",
,,,,"4=RFD Normal, LFD Inhibit, RFP Normal, LFP Normal","C=RFD Inhibit, LFD Inhibit, RFP Normal, LFP Normal",
,,,,"5=RFD Normal, LFD Inhibit, RFP Normal, LFP Inhibit","D=RFD Inhibit, LFD Inhibit, RFP Normal, LFP Inhibit",
,,,,"6=RFD Normal, LFD Inhibit, RFP Inhibit, LFP Normal","E=RFD Inhibit, LFD Inhibit, RFP Inhibit, LFP Normal",
,,,,"7=RFD Normal, LFD Inhibit, RFP Inhibit, LFP Inhibit","F=RFD Inhibit, LFD Inhibit, RFP Inhibit, LFP Inhibit",
726-24-01,xxxx,xxx*,xxxx,RR Turn (RRT) / LR Turn (LRT) / RF Turn (RFT) / LF Turn (LFT) - Circuit DTC (Normal/Inhibit),,
,,,,"0=RRT Normal, LRT Normal, RFT Normal, LFT Normal","8=RRT Inhibit, LRT Normal, RFT Normal, LFT Normal",
,,,,"1=RRT Normal, LRT Normal, RFT Normal, LFT Inhibit","9=RRT Inhibit, LRT Normal, RFT Normal, LFT Inhibit",
,,,,"2=RRT Normal, LRT Normal, RFT Inhibit, LFT Normal","A=RRT Inhibit, LRT Normal, RFT Inhibit, LFT Normal",
,,,,"3=RRT Normal, LRT Normal, RFT Inhibit, LFT Inhibit","B=RRT Inhibit, LRT Normal, RFT Inhibit, LFT Inhibit",
,,,,"4=RRT Normal, LRT Inhibit, RFT Normal, LFT Normal","C=RRT Inhibit, LRT Inhibit, RFT Normal, LFT Normal",
,,,,"5=RRT Normal, LRT Inhibit, RFT Normal, LFT Inhibit","D=RRT Inhibit, LRT Inhibit, RFT Normal, LFT Inhibit",
,,,,"6=RRT Normal, LRT Inhibit, RFT Inhibit, LFT Normal","E=RRT Inhibit, LRT Inhibit, RFT Inhibit, LFT Normal",
,,,,"7=RRT Normal, LRT Inhibit, RFT Inhibit, LFT Inhibit","F=RRT Inhibit, LRT Inhibit, RFT Inhibit, LFT Inhibit",
726-24-01,xxxx,xxxx,*xxx,Interior Lighting (IL) / White Lighting (WL) / Backlighting LED (BL) / Rear Fog Lamp (RFL) - Circuit DTC (Normal/Inhibit),,
,,,,"0=IL Normal, WL Normal, BL Normal, RFL Normal","8=IL Inhibit, WL Normal, BL Normal, RFL Normal",
,,,,"1=IL Normal, WL Normal, BL Normal, RFL Inhibit","9=IL Inhibit, WL Normal, BL Normal, RFL Inhibit",
,,,,"2=IL Normal, WL Normal, BL Inhibit, RFL Normal","A=IL Inhibit, WL Normal, BL Inhibit, RFL Normal",
,,,,"3=IL Normal, WL Normal, BL Inhibit, RFL Inhibit","B=IL Inhibit, WL Normal, BL Inhibit, RFL Inhibit",
,,,,"4=IL Normal, WL Inhibit, BL Normal, RFL Normal","C=IL Inhibit, WL Inhibit, BL Normal, RFL Normal",
,,,,"5=IL Normal, WL Inhibit, BL Normal, RFL Inhibit","D=IL Inhibit, WL Inhibit, BL Normal, RFL Inhibit",
,,,,"6=IL Normal, WL Inhibit, BL Inhibit, RFL Normal","E=IL Inhibit, WL Inhibit, BL Inhibit, RFL Normal",
,,,,"7=IL Normal, WL Inhibit, BL Inhibit, RFL Inhibit","F=IL Inhibit, WL Inhibit, BL Inhibit, RFL Inhibit",
726-24-01,xxxx,xxxx,x*xx,Reverse Lamp (RL) / Park Lamps Engine (PLE) / Park Lamps Body (PLB) / Stop Lamps CHMSL (SLC) - Circuit DTC (Normal/Inhibit),,
,,,,"0=RL Normal, PLE Normal, PLB Normal, SLC Normal","8=RL Inhibit, PLE Normal, PLB Normal, SLC Normal",
,,,,"1=RL Normal, PLE Normal, PLB Normal, SLC Inhibit","9=RL Inhibit, PLE Normal, PLB Normal, SLC Inhibit",
,,,,"2=RL Normal, PLE Normal, PLB Inhibit, SLC Normal","A=RL Inhibit, PLE Normal, PLB Inhibit, SLC Normal",
,,,,"3=RL Normal, PLE Normal, PLB Inhibit, SLC Normal","B=RL Inhibit, PLE Normal, PLB Inhibit, SLC Inhibit",
,,,,"4=RL Normal, PLE Inhibit, PLB Normal, SLC Normal","C=RL Inhibit, PLE Inhibit, PLB Normal, SLC Normal",
,,,,"5=RL Normal, PLE Inhibit, PLB Normal, SLC Inhibit","D=RL Inhibit, PLE Inhibit, PLB Normal, SLC Inhibit",
,,,,"6=RL Normal, PLE Inhibit, PLB Inhibit, SLC Normal","E=RL Inhibit, PLE Inhibit, PLB Inhibit, SLC Normal",
,,,,"7=RL Normal, PLE Inhibit, PLB Inhibit, SLC Inhibit","F=RL Inhibit, PLE Inhibit, PLB Inhibit, SLC Inhibit",
