737-01-01,****,****,**xx,VIN (first 5),,,,,,,,,,,,,,,,,,,,,
737-01-02,****,****,**xx,VIN (6-10),,,,,,,,,,,,,,,,,,,,,
737-01-03,****,****,**xx,VIN (11-15),,,,,,,,,,,,,,,,,,,,,
737-01-04,****,xx,,VIN (16-17),,,,,,,,,,,,,,,,,,,,,
,,,,4=PSCA2 no & DSCA2 yes & PSCA1 no & DSCA1 no,,,,C=PSCA2 yes & DSCA2 yes & PSCA1 no & DSCA1 no,,,,,,,,,,,,,,,,,
,,,,5=PSCA2 no & DSCA2 yes & PSCA1 no & DSCA1 yes,,,,D=PSCA2 yes & DSCA2 yes & PSCA1 no & DSCA1 yes,,,,,,,,,,,,,,,,,
,,,,6=PSCA2 no & DSCA2 yes & PSCA1 yes & DSCA1 no,,,,E=PSCA2 yes & DSCA2 yes & PSCA1 yes & DSCA1 no,,,,,,,,,,,,,,,,,
,,,,7=PSCA2 no & DSCA2 yes & PSCA1 yes & DSCA1 yes,,,,F=PSCA2 yes & DSCA2 yes & PSCA1 yes & DSCA1 yes,,,,,,,,,,,,,,,,,
737-02-01,xxxx,xxx*,xxxx,Collapsible Steering Column Present (CSC) & Driver Seatbelt Load Limiter Present (DSLL) & Passenger Seatbelt Anchor Pretensioner Present (PSAP) & Driver Seatbelt Anchor Pretensioner Present (DSAP),,,,,,,,,,,,,,,,,,,,,
,,,,0=CSC no & DSLL no & PSAP no & DSAP no,,,,8=CSC yes & DSLL no & PSAP no & DSAP no,,,,,,,,,,,,,,,,,
,,,,1=CSC no & DSLL no & PSAP no & DSAP yes,,,,9=CSC yes & DSLL no & PSAP no & DSAP yes,,,,,,,,,,,,,,,,,
,,,,2=CSC no & DSLL no & PSAP yes & DSAP no,,,,A=CSC yes & DSLL no & PSAP yes & DSAP no,,,,,,,,,,,,,,,,,
,,,,3=CSC no & DSLL no & PSAP yes & DSAP yes,,,,B=CSC yes & DSLL no & PSAP yes & DSAP yes,,,,,,,,,,,,,,,,,
,,,,4=CSC no & DSLL yes & PSAP no & DSAP no,,,,C=CSC yes & DSLL yes & PSAP no & DSAP no,,,,,,,,,,,,,,,,,
,,,,5=CSC no & DSLL yes & PSAP no & DSAP yes,,,,D=CSC yes & DSLL yes & PSAP no & DSAP yes,,,,,,,,,,,,,,,,,
,,,,6=CSC no & DSLL yes & PSAP yes & DSAP no,,,,E=CSC yes & DSLL yes & PSAP yes & DSAP no,,,,,,,,,,,,,,,,,
,,,,7=CSC no & DSLL yes & PSAP yes & DSAP yes,,,,F=CSC yes & DSLL yes & PSAP yes & DSAP yes,,,,,,,,,,,,,,,,,
737-02-01,xxxx,xxxx,*xxx,Third Row Driver Side Seatbelt Sensor Present (TRDSS) & Second Row Passenger Side Seatbelt Sensor Present (SRPSS) & Second Row Driver Side Seatbelt Sensor Present (SRDSS) & Driver Seatbelt Sensor Present (DSS),,,,,,,,,,,,,,,,,,,,,
